EXPECTED FAIL loss
EXPECTED FAIL gradients
EXPECTED FAIL parameters
EXPECTED FAIL m
EXPECTED FAIL v
EXPECTED FAIL flags
EXPECTED FAIL shape
EXPECTED FAIL seed
EXPECTED FAIL corpus
EXPECTED FAIL vendors
EXPECTED FAIL coverage
EXPECTED FAIL sequence
EXPECTED FAIL completed
EXPECTED FAIL loss
EXPECTED FAIL finite
MATCH 0 loss 52980a05962ac7b46e3d0fa9db54428a611d45bff12ca5805d9d03f8ccca3ce4 52980a05962ac7b46e3d0fa9db54428a611d45bff12ca5805d9d03f8ccca3ce4
MATCH 109 loss 4.019840240478516 4.019840240478516
MATCH 110 loss 3.6224217414855957 3.6224217414855957
MATCH 111 loss 3.6550774574279785 3.6550774574279785
MATCH 112 loss 3.6288235187530518 3.6288235187530518
MATCH 113 loss 3.5905542373657227 3.5905542373657227
MATCH 114 loss 3.389591932296753 3.389591932296753
MATCH 115 loss 3.1822078227996826 3.1822078227996826
MATCH 116 loss 3.2842366695404053 3.2842366695404053
MATCH 117 loss 3.419660806655884 3.419660806655884
MATCH 118 loss 3.2489356994628906 3.2489356994628906
MATCH 119 loss 3.1091976165771484 3.1091976165771484
MATCH 120 loss 3.636418104171753 3.636418104171753
MATCH 121 loss 4.060632228851318 4.060632228851318
MATCH 122 loss 3.828840494155884 3.828840494155884
MATCH 123 loss 3.034958839416504 3.034958839416504
MATCH 124 loss 2.9141845703125 2.9141845703125
MATCH 125 loss 2.8620762825012207 2.8620762825012207
MATCH 126 loss 2.894436836242676 2.894436836242676
MATCH 127 loss 2.619412899017334 2.619412899017334
MATCH 128 loss 3.8854312896728516 3.8854312896728516
MATCH 129 loss 3.6514344215393066 3.6514344215393066
MATCH 130 loss 3.4920783042907715 3.4920783042907715
MATCH 131 loss 4.45265531539917 4.45265531539917
MATCH 132 loss 3.9806783199310303 3.9806783199310303
MATCH 133 loss 3.7192306518554688 3.7192306518554688
MATCH 134 loss 3.9505209922790527 3.9505209922790527
MATCH 135 loss 4.473926067352295 4.473926067352295
MATCH 136 loss 4.143302917480469 4.143302917480469
MATCH 137 loss 3.704162120819092 3.704162120819092
MATCH 138 loss 3.887514114379883 3.887514114379883
MATCH 139 loss 3.7014353275299072 3.7014353275299072
MATCH 140 loss 3.5387871265411377 3.5387871265411377
MATCH 141 loss 3.5252628326416016 3.5252628326416016
MATCH 142 loss 3.1255810260772705 3.1255810260772705
MATCH 143 loss 3.280801296234131 3.280801296234131
MATCH 144 loss 4.122929573059082 4.122929573059082
MATCH 145 loss 4.323861598968506 4.323861598968506
MATCH 146 loss 3.7680702209472656 3.7680702209472656
MATCH 147 loss 3.525134563446045 3.525134563446045
MATCH 148 loss 3.2658069133758545 3.2658069133758545
MATCH 149 loss 3.670515775680542 3.670515775680542
MATCH 150 loss 3.580402374267578 3.580402374267578
MATCH 151 loss 2.9034860134124756 2.9034860134124756
MATCH 152 loss 2.6521553993225098 2.6521553993225098
MATCH 153 loss 3.8838412761688232 3.8838412761688232
MATCH 154 loss 4.292257308959961 4.292257308959961
MATCH 155 loss 3.551274299621582 3.551274299621582
MATCH 156 loss 3.4402806758880615 3.4402806758880615
MATCH 157 loss 4.346828460693359 4.346828460693359
MATCH 158 loss 3.6307759284973145 3.6307759284973145
MATCH 159 loss 3.44982647895813 3.44982647895813
MATCH 160 loss 3.525362253189087 3.525362253189087
MATCH 161 loss 3.6179938316345215 3.6179938316345215
MATCH 162 loss 6.1125688552856445 6.1125688552856445
MATCH 163 loss 4.908102512359619 4.908102512359619
MATCH 164 loss 2.745046377182007 2.745046377182007
MATCH 165 loss 4.054764747619629 4.054764747619629
MATCH 166 loss 4.191449165344238 4.191449165344238
