CORPUS enwik8
EXPECTED FAIL loss
EXPECTED FAIL gradients
EXPECTED FAIL parameters
EXPECTED FAIL m
EXPECTED FAIL v
EXPECTED FAIL flags
EXPECTED FAIL shape
EXPECTED FAIL seed
EXPECTED FAIL completed
EXPECTED FAIL timing
EXPECTED FAIL timing
EXPECTED FAIL loss
EXPECTED FAIL dispatch
EXPECTED FAIL coverage
EXPECTED FAIL sequence
EXPECTED FAIL corpus
EXPECTED FAIL attention
EXPECTED FAIL binding
EXPECTED FAIL finite
MATCH step 0 loss d1b0bc14e89f1f881d19c11bb576e521f1b8a226397b88171ab3cb6697b6da22 d1b0bc14e89f1f881d19c11bb576e521f1b8a226397b88171ab3cb6697b6da22
MATCH step 107 loss 3.840880870819092 3.840880870819092
MATCH step 108 loss 4.428732872009277 4.428732872009277
MATCH step 109 loss 3.086522102355957 3.086522102355957
MATCH step 110 loss 2.9127585887908936 2.9127585887908936
MATCH step 111 loss 2.9679665565490723 2.9679665565490723
MATCH step 112 loss 2.959627628326416 2.959627628326416
MATCH step 113 loss 2.8956947326660156 2.8956947326660156
MATCH step 114 loss 2.9195523262023926 2.9195523262023926
MATCH step 115 loss 2.9259185791015625 2.9259185791015625
MATCH step 116 loss 2.9211347103118896 2.9211347103118896
MATCH step 117 loss 2.7579617500305176 2.7579617500305176
MATCH step 118 loss 2.686279296875 2.686279296875
MATCH step 119 loss 2.9091179370880127 2.9091179370880127
MATCH step 120 loss 2.8052940368652344 2.8052940368652344
MATCH step 121 loss 2.682908773422241 2.682908773422241
MATCH step 122 loss 2.6021883487701416 2.6021883487701416
MATCH step 123 loss 2.6289877891540527 2.6289877891540527
MATCH step 124 loss 2.548065423965454 2.548065423965454
MATCH step 125 loss 2.6630911827087402 2.6630911827087402
MATCH step 126 loss 2.62267804145813 2.62267804145813
MATCH step 127 loss 2.702528953552246 2.702528953552246
MATCH step 128 loss 2.6471619606018066 2.6471619606018066
MATCH step 129 loss 2.677863121032715 2.677863121032715
MATCH step 130 loss 2.639498710632324 2.639498710632324
MATCH step 131 loss 2.613499164581299 2.613499164581299
MATCH step 132 loss 2.5929603576660156 2.5929603576660156
MATCH step 133 loss 2.545260190963745 2.545260190963745
MATCH step 134 loss 2.619810104370117 2.619810104370117
MATCH step 135 loss 2.6124982833862305 2.6124982833862305
MATCH step 136 loss 2.6934990882873535 2.6934990882873535
MATCH step 137 loss 3.0275349617004395 3.0275349617004395
MATCH step 138 loss 2.677365303039551 2.677365303039551
MATCH step 139 loss 2.726240634918213 2.726240634918213
MATCH step 140 loss 2.8395779132843018 2.8395779132843018
MATCH step 141 loss 2.7667126655578613 2.7667126655578613
MATCH step 142 loss 2.8271100521087646 2.8271100521087646
MATCH step 143 loss 2.6770598888397217 2.6770598888397217
MATCH step 144 loss 2.870863914489746 2.870863914489746
MATCH step 145 loss 3.2392594814300537 3.2392594814300537
MATCH step 146 loss 3.022245407104492 3.022245407104492
MATCH step 147 loss 3.412064552307129 3.412064552307129
MATCH step 148 loss 4.094270706176758 4.094270706176758
MATCH step 149 loss 3.107293128967285 3.107293128967285
MATCH step 150 loss 2.9795684814453125 2.9795684814453125
MATCH step 151 loss 2.7938332557678223 2.7938332557678223
MATCH step 152 loss 2.8353774547576904 2.8353774547576904
MATCH step 153 loss 2.5954678058624268 2.5954678058624268
MATCH step 154 loss 2.7468504905700684 2.7468504905700684
MATCH step 155 loss 2.6230709552764893 2.6230709552764893
MATCH step 156 loss 2.886988639831543 2.886988639831543
MATCH step 157 loss 2.657728672027588 2.657728672027588
MATCH step 158 loss 2.576906681060791 2.576906681060791
MATCH step 159 loss 2.4636504650115967 2.4636504650115967
MATCH step 160 loss 2.5573830604553223 2.5573830604553223
MATCH step 161 loss 2.631629705429077 2.631629705429077
MATCH step 162 loss 2.6306819915771484 2.6306819915771484
MATCH step 163 loss 2.6387476921081543 2.6387476921081543
MATCH step 164 loss 2.5310444831848145 2.5310444831848145
MATCH step 165 loss 2.986293315887451 2.986293315887451
MATCH step 166 loss 3.0174856185913086 3.0174856185913086
MATCH step 167 loss 3.0835983753204346 3.0835983753204346
MATCH step 168 loss 3.530991554260254 3.530991554260254
MATCH step 169 loss 3.474853038787842 3.474853038787842
MATCH step 170 loss 3.3727493286132812 3.3727493286132812
MATCH step 171 loss 3.6151227951049805 3.6151227951049805
MATCH step 172 loss 2.94612455368042 2.94612455368042
MATCH step 173 loss 2.487840175628662 2.487840175628662
MATCH step 174 loss 3.7282071113586426 3.7282071113586426
MATCH step 175 loss 3.53684139251709 3.53684139251709
MATCH step 176 loss 2.951550245285034 2.951550245285034
MATCH step 177 loss 2.724905014038086 2.724905014038086
MATCH step 178 loss 3.284245729446411 3.284245729446411
MATCH step 179 loss 3.5606231689453125 3.5606231689453125
MATCH step 180 loss 3.3529467582702637 3.3529467582702637
MATCH step 181 loss 3.0739622116088867 3.0739622116088867
MATCH step 182 loss 3.398711681365967 3.398711681365967
MATCH step 183 loss 2.9802095890045166 2.9802095890045166
MATCH step 184 loss 2.845790386199951 2.845790386199951
MATCH step 185 loss 2.762815475463867 2.762815475463867
MATCH step 186 loss 2.801081657409668 2.801081657409668
MATCH step 187 loss 2.6811609268188477 2.6811609268188477
MATCH step 188 loss 2.6363883018493652 2.6363883018493652
MATCH step 189 loss 2.575077533721924 2.575077533721924
MATCH step 190 loss 2.5226292610168457 2.5226292610168457
MATCH step 191 loss 2.6284804344177246 2.6284804344177246
MATCH step 192 loss 2.4340248107910156 2.4340248107910156
