# the batch part of diff.three-columns.txt: every batch row and its summary
|------------------------------|------------|------------------|------------------|------------------|
| et-clf/odd                   | batch  | IDENTICAL x3 | c070f3c53e86d833 | c070f3c53e86d833 | c070f3c53e86d833 |
| et-clf/ties                  | batch  | IDENTICAL x3 | 2296c44521d45082 | 2296c44521d45082 | 2296c44521d45082 |
| et-clf/wide                  | batch  | IDENTICAL x3 | f7c2f10cfe901b45 | f7c2f10cfe901b45 | f7c2f10cfe901b45 |
| et-reg-bootstrap-parallel/base | batch  | IDENTICAL x3 | 8f0d2ec1e7b966f7 | 8f0d2ec1e7b966f7 | 8f0d2ec1e7b966f7 |
| et-reg-bootstrap-parallel/denormal | batch  | IDENTICAL x3 | d70de1307f3768be | d70de1307f3768be | d70de1307f3768be |
| et-reg-bootstrap-parallel/denormal_ftz | batch  | IDENTICAL x3 | d70de1307f3768be | d70de1307f3768be | d70de1307f3768be |
| et-reg-bootstrap-parallel/dupes | batch  | IDENTICAL x3 | d3dc64b4fa4eb59d | d3dc64b4fa4eb59d | d3dc64b4fa4eb59d |
| et-reg-bootstrap-parallel/hashed | batch  | IDENTICAL x3 | 4909becd02eff0ad | 4909becd02eff0ad | 4909becd02eff0ad |
| et-reg-bootstrap-parallel/negative | batch  | IDENTICAL x3 | fe1281bf98c9ea96 | fe1281bf98c9ea96 | fe1281bf98c9ea96 |
| et-reg-bootstrap-parallel/odd | batch  | IDENTICAL x3 | 1ef1925226b29440 | 1ef1925226b29440 | 1ef1925226b29440 |
| et-reg-bootstrap-parallel/ties | batch  | IDENTICAL x3 | 1b5250036fdc0f89 | 1b5250036fdc0f89 | 1b5250036fdc0f89 |
| et-reg-bootstrap-parallel/wide | batch  | IDENTICAL x3 | f8f3f09344aef35f | f8f3f09344aef35f | f8f3f09344aef35f |
| et-reg/base                  | batch  | IDENTICAL x3 | 42f0ba39adaa879d | 42f0ba39adaa879d | 42f0ba39adaa879d |
| et-reg/denormal              | batch  | IDENTICAL x3 | 342ed44aaf4bda3b | 342ed44aaf4bda3b | 342ed44aaf4bda3b |
| et-reg/denormal_ftz          | batch  | IDENTICAL x3 | 342ed44aaf4bda3b | 342ed44aaf4bda3b | 342ed44aaf4bda3b |
| et-reg/dupes                 | batch  | IDENTICAL x3 | 07a82dcea7f93e8d | 07a82dcea7f93e8d | 07a82dcea7f93e8d |
| et-reg/hashed                | batch  | IDENTICAL x3 | fe0c97142529574e | fe0c97142529574e | fe0c97142529574e |
